,game,developers,publishers,franchises,features,released_date,platform,genres,score,score_text,esrb,esrb_info
0,Magic & Mayhem,['Mythos Games'],['Bethesda  Softworks'],,"['Memory Card', 'Online']",1999-05-15 00:00:00,['PC'],['Strategy'],7.3,good,Teen,['Animated Violence']
1,Fishing Master [2007],['Hudson Soft'],"['Konami', 'Hudson Soft']",,"['Number Of Players', 'Local - VS # of Players']",2006-03-29 00:00:00,['Wii'],['Hunting'],5.5,mediocre,Everyone,['Mild Language']
2,Far Cry 2,"['Gameloft', 'Ubisoft Montreal']","['Ubisoft', 'Gameloft']",['Far Cry'],"['Memory Card', 'Vibration', 'DualShock', 'Memory Blocks', 'Dolby Digital', '16:9', '480p', '720p', 'Downloadable Content', 'Online Leaderboards', 'Online', '1080i', 'Mic/Headset Voice', 'System Link / LAN', 'Dolby Digital 5.1', 'Online Versus Multiplayer', 'Online Spectator Mode']",2008-10-21 00:00:00,"['Luna', 'PC', 'Wireless', 'Xbox 360', 'PlayStation 3']",['Shooter'],8.9,great,Mature,"['Intense Violence', 'Drug Reference', 'Strong Language', 'Sexual Themes', 'Blood']"
3,Pro 18: World Tour Golf,['Psygnosis'],"['Psygnosis', 'Electro Source']",,"['Number Of Players', 'Memory Card', 'Online']",1999-03-31 00:00:00,"['PC', 'PlayStation']",['Sports'],3.0,awful,Everyone,"['Suitable for Persons Ages Six and Older', 'No Descriptors']"
4,Bust A Groove,['Metro Corporation (aka Metro Graphics)'],"['Sony Computer Entertainment', 'Enix', '989 Studios']",['Bust a Groove'],"['Number Of Players', 'Memory Card', 'Vibration']",1998-04-27 00:00:00,['PlayStation'],"['Action', 'Music']",9.0,amazing,Everyone,['Mild Language']
5,Star Trek: Away Team,['Reflexive Entertainment'],['Activision'],['Star Trek'],"['Number Of Players', 'Online']",2001-03-20 00:00:00,['PC'],['Strategy'],6.5,okay,Teen,['Animated Violence']
6,Destroy All Humans! Big Willy Unleashed,['Locomotive Games'],['THQ'],,,2008-02-25 00:00:00,"['Wii', 'PlayStation 2', 'PlayStation Portable']",['Adventure'],5.8,mediocre,Teen,"['Crude Humor', 'Sexual Themes', 'Violence', 'Mild Language', 'Alcohol and/or Tobacco References']"
7,Chivalry: Medieval Warfare,['Torn Banner Studios'],"['Activision', 'Torn Banner Studios']",['Chivalry - Medieval Warfare'],"['Number Of Players', 'Online - VS Number Of Players', 'Online']",2012-10-16 00:00:00,"['PlayStation 3', 'PlayStation 4', 'Xbox One', 'Xbox 360', 'PC']",['Adventure'],7.9,good,Mature,"['Blood and Gore', 'Intense Violence', 'Includes online features that may expose players to unrated user-generated content']"
8,New Super Mario Bros. Wii,['Nintendo EAD Tokyo Software Development Department'],['Nintendo'],['Mario'],"['Dolby Pro Logic II', 'Offline Co-Op Multiplayer']",2009-11-12 00:00:00,['Wii'],['Platformer'],8.9,great,Everyone,['Comic Mischief']
9,J-Stars Victory VS.+,['Spike Chunsoft'],['Bandai Namco Games'],,"['Online Versus Multiplayer', 'Offline Versus Multiplayer']",2015-06-30 00:00:00,"['PlayStation 4', 'PlayStation 3', 'PlayStation Vita']",['Fighting'],5.0,mediocre,Teen,"['Cartoon Violence', 'Crude Humor', 'Mild Language', 'Suggestive Themes', 'Includes online features that may expose players to unrated user-generated content']"
10,Championship Motocross Featuring Ricky Carmichael,['Funcom'],"['Fillpoint', 'THQ']",,"['Memory Card', 'Number Of Players', 'Vibration', 'DualShock']",1999-09-15 00:00:00,['PlayStation'],['Racing'],8.7,great,Everyone,
11,NASCAR Revolution,['Stormfront Studios'],['Electronic Arts'],['NASCAR [EA Sports]'],"['Number Of Players', 'Memory Card', 'Vibration', 'Online', 'Steering Wheel Support', 'EAX']",1999-03-01 00:00:00,['PC'],['Racing'],4.5,bad,Everyone,"['Blood and Gore', 'No Descriptors', 'Realistic Violence']"
12,Street Sk8er,['Micro Cabin'],"['Electronic Arts', 'ACE (2)']",,"['Number Of Players', 'Vibration', 'Memory Blocks', 'Memory Card', 'Local - VS # of Players']",1998-10-22 00:00:00,"['PlayStation 3', 'PlayStation Portable', 'PlayStation']",['Sports'],7.0,good,,
13,Below,['Capybara Games'],['Capybara Games'],,['Steam Deck Verified'],2018-12-14 00:00:00,"['PlayStation 4', 'PC', 'Xbox One']",['Adventure'],6.9,okay,Teen,"['Violence', 'Blood']"
14,NHL 18,['EA Canada'],['Electronic Arts'],['EA Sports NHL'],"['Offline Versus Multiplayer', 'Online Versus Multiplayer']",2017-09-15 00:00:00,"['PlayStation 4', 'Xbox One']",['Sports'],7.4,good,Everyone 10+,"['Mild Violence', 'Online Interactions Not Rated by the ESRB']"
15,Chess Challenge!,['Digital Leisure'],['Digital Leisure'],,['Number Of Players'],2010-05-10 00:00:00,['Wii'],"['Chess', 'Board Game']",7.0,good,Everyone,['No Descriptors']
16,FIFA Soccer 2004,"['Electronic Arts', 'EA Canada']","['Ingram Entertainment', 'Electronic Arts']",['FIFA'],"['Number Of Players', 'Memory Card', 'Vibration', 'DualShock', '16:9', '480p', 'Online', 'Mic/Headset Voice', 'System Link / LAN', 'Dolby Digital 5.1', 'Console-To-Handheld System Link']",2003-10-24 00:00:00,"['PlayStation 2', 'GameCube', 'Xbox', 'PC']",['Sports'],8.5,great,Everyone,['Suitable for Persons Ages Six and Older']
17,Soldier Elite,['Metropolis Software House'],['DreamCatcher Interactive'],,,2006-05-29 00:00:00,['PC'],['Action'],4.0,bad,Mature,"['Blood and Gore', 'Language', 'Violence']"
18,Rent A Hero No. 1,"['AIA', 'SEGA']","['SEGA', 'CoolCool', 'Ingram Entertainment']",,"['Number Of Players', 'Memory Card']",2000-05-25 00:00:00,"['Xbox', 'Dreamcast']","['Action', 'Adventure']",8.4,great,Teen,"['Mild Violence', 'Comic Mischief']"
19,Kena: Bridge of Spirits,['Ember Lab'],['Ember Lab'],,,2021-09-21 00:00:00,"['PlayStation 5', 'PlayStation 4', 'PC']","['Action', 'Adventure', 'Platformer']",8.0,great,Everyone 10+,['Mild Violence']
20,Guitar Hero Encore: Rocks the 80s,['Harmonix'],['RedOctane'],['Guitar Hero'],"['Number Of Players', 'Local - VS # of Players', 'Local - Co-Op # of Players']",2007-07-24 00:00:00,['PlayStation 2'],['Music'],7.2,good,Teen,['Lyrics']
21,In Cold Blood,['Revolution Software Ltd.'],"['Fillpoint', 'Midway  Games', 'DreamCatcher Interactive']",,"['Number Of Players', 'Memory Card', 'Vibration', 'DualShock']",2001-03-15 00:00:00,"['PlayStation', 'PC']",['Adventure'],7.4,good,Teen,"['Blood', 'Violence']"
22,Fallout 3,['Bethesda Game Studios'],"['Bethesda  Softworks', 'ZeniMax Media']",['Fallout'],"['Vibration', 'DualShock', '16:9', 'Steam Deck Playable']",2008-10-28 00:00:00,"['Xbox 360', 'PC', 'PlayStation 3']","['Action', 'RPG']",8.8,great,Mature,"['Sexual Themes', 'Strong Language', 'Use of Drugs', 'Blood and Gore', 'Intense Violence']"
23,FaceBreaker,['EA Canada'],['Electronic Arts'],,"['Gaming Camera', 'Downloadable Content', 'Online', 'Memory Card', 'Online Leaderboards', 'Dolby Digital 5.1', '16:9', 'Local - VS # of Players', '480p', 'Number Of Players', '1080i', 'Mic/Headset Voice', '720p', 'Online - VS Number Of Players', 'DualShock', 'Vibration']",2008-09-03 00:00:00,"['Wii', 'Xbox 360', 'PlayStation 3']","['Sports', 'Action']",5.0,mediocre,Teen,"['Violence', 'Mild Language', 'Suggestive Themes']"
24,Let's Catch,['Prope'],['SEGA'],,"['Number Of Players', 'Local - VS # of Players']",2008-12-16 00:00:00,['Wii'],['Party'],6.5,okay,Everyone,"['Comic Mischief', 'Mild Suggestive Themes']"
25,Super Mario Advance 4: Super Mario Bros. 3-e,"['Nintendo Entertainment Analysis & Development (EAD)', 'Nintendo R&D2']",['Nintendo'],['Mario'],,2003-07-11 00:00:00,['Game Boy Advance'],['Platformer'],9.5,amazing,,
26,Rudolph the Red-Nosed Reindeer,"['High Voltage Software', 'Glyphic Entertainment']",['Red Wagon'],,"['Local - VS # of Players', 'Number Of Players']",2010-11-09 00:00:00,"['Nintendo DS', 'Wii']",['Adventure'],1.5,unbearable,Everyone,['No Descriptors']
27,FIFA Soccer 09 All-Play,['EA Canada'],['Electronic Arts'],['FIFA'],"['Online', 'Online Versus Multiplayer']",2008-10-02 00:00:00,['Wii'],['Sports'],7.2,good,Everyone,
28,"Warhammer 40,000: Space Marine",['Relic'],['THQ'],[' Warhammer 40K'],,2011-09-06 00:00:00,"['PlayStation 3', 'Xbox 360', 'PC']",['Shooter'],7.5,good,Mature,"['Blood and Gore', 'Intense Violence']"
29,Motionsports,['Ubisoft Milan'],['Ubisoft'],,"['Local - VS # of Players', 'Number Of Players', 'Kinect', 'Online - VS Number Of Players', 'Online']",2010-11-04 00:00:00,['Xbox 360'],['Sports'],4.5,bad,Teen,
30,Backyard Wrestling: Don't Try This at Home,"['Paradox Development', 'Paradox  Interactive']","['Ingram Entertainment', 'Eidos Interactive']",['Backyard Wrestling'],"['Number Of Players', 'Memory Card', 'Custom Soundtrack', 'Vibration', 'DualShock', 'Stereo Surround']",2003-10-07 00:00:00,"['PlayStation 2', 'Xbox', 'PC']",['Wrestling'],6.5,okay,Mature,"['Strong Language', 'Blood', 'Animated Violence']"
31,Dragon Ball Xenoverse 2,['Dimps'],['Bandai Namco Games'],['Dragon Ball'],,2016-10-25 00:00:00,"['Stadia', 'Nintendo Switch', 'PlayStation 4', 'Xbox One', 'PC']",['Fighting'],7.5,good,Teen,"['Cartoon Violence', 'Mild Blood', 'Mild Language', 'Mild Suggestive Themes', 'Online Interactions Not Rated by the ESRB']"
32,The Room Three,['Fireproof Games'],['Fireproof Games'],['The Room [Fireproof Games]'],['Steam Deck Playable'],2015-11-04 00:00:00,"['Android', 'iPhone']",['Puzzle'],9.0,amazing,,
33,Throne of Darkness,['Click Entertainment'],['Sierra Studios'],,"['Number Of Players', 'Online']",2000-09-28 00:00:00,['PC'],['RPG'],7.5,good,Mature,"['Realistic Violence', 'Blood and Gore']"
34,Sonic Boom: Shattered Crystal,['Sanzaru Games'],['SEGA'],['Sonic the Hedgehog'],,2014-11-11 00:00:00,['Nintendo 3DS'],['Platformer'],4.0,bad,Everyone,"['Comic Mischief', 'Mild Cartoon Violence']"
35,Yu-Gi-Oh! 5D's Duel Transer,['Konami'],['Konami'],['Yu-Gi-Oh'],"['Number Of Players', 'Local - VS # of Players']",2010-12-07 00:00:00,['Wii'],"['Card', 'Battle']",7.0,good,Everyone,"['Mild Suggestive Theme', 'Mild Fantasy Violence']"
36,Recompile,['Phigames'],['Dear Villagers'],,,2021-08-19 00:00:00,"['PlayStation 5', 'Xbox Series X|S', 'PC']","['Action', 'Adventure']",6.0,okay,Teen,['Violence']
37,Destiny 2: Beyond Light,['Bungie Software'],['Bungie Software'],['Destiny'],,2020-11-10 00:00:00,"['PlayStation 5', 'Stadia', 'PC', 'Xbox One', 'PlayStation 4', 'Xbox Series X|S']","['RPG', 'Shooter', 'DLC / Expansion']",7.0,good,Teen,"['Language', 'Blood', 'Violence', 'Online Interactions Not Rated by the ESRB']"
38,Super Mario 64 DS,['Nintendo Entertainment Analysis & Development (EAD)'],"['Ingram Entertainment', 'Nintendo']",['Mario'],"['Number Of Players', 'Cartridge Save', 'Single-Cartridge Downloadable Multiplayer']",2004-11-21 00:00:00,"['Wii U', 'Nintendo DS']",['Platformer'],8.9,great,Everyone,['Suitable for Persons Ages Six and Older']
39,Mario Party 10,['NDCube'],['Nintendo'],"['Mario', 'Mario Party']","['Offline Co-Op Multiplayer', 'Offline Versus Multiplayer', 'Online Versus Multiplayer', 'Amiibo']",2015-03-20 00:00:00,['Wii U'],['Party'],6.5,okay,Everyone,"['Mild Cartoon Violence', 'Includes online features that may expose players to unrated user-generated content']"
40,Baseball Blast!,['WayForward Technologies'],['2K Sports'],,"['Local - VS # of Players', 'Number Of Players']",2009-09-29 00:00:00,['Wii'],['Sports'],6.0,okay,Everyone,['Comic Mischief']
41,Minority Report,"['Torus Games', 'Treyarch']",['Activision'],['Minority Report'],"['Number Of Players', 'Memory Card', 'Vibration', 'DualShock', 'Memory Blocks', 'Dolby Pro Logic II', '16:9', '480p', 'Dolby Digital 5.1']",2002-11-11 00:00:00,"['PlayStation 2', 'Xbox', 'GameCube', 'Game Boy Advance']",['Action'],5.4,mediocre,Teen,"['Animated Violence', 'Violence', 'Realistic Violence']"
42,Planet Minigolf,['Zen Studios'],['Zen Studios'],,['PlayStation Move'],2010-06-01 00:00:00,['PlayStation 3'],['Sports'],6.5,okay,Everyone 10+,"['Comic Mischief', 'Mild Suggestive Themes']"
43,Big Bang Board Games,['Freeverse'],['Freeverse'],,"['Online - VS Number Of Players', 'Number Of Players', 'Online', 'Local - VS # of Players', 'Offline Versus Multiplayer']",2004-11-10 00:00:00,"['iPhone', 'Macintosh']","['Compilation', 'Board Game']",4.5,bad,,
44,Game & Watch Gallery 4,"['Nintendo', 'Tose Software']",['Nintendo'],['Game and Watch'],['Memory Card'],2002-10-28 00:00:00,"['Wii U', 'Game Boy Advance']","['Action', 'Compilation']",7.0,good,Everyone,['Comic Mischief']
45,HoopWorld,"['Streamline Studios', 'Virtual Toys']",['Virtual Toys'],,,2010-07-18 00:00:00,"['Wii', 'Xbox 360']",['Action'],8.0,great,,
46,MLB Power Pros 2008,['Konami'],"['Konami', '2K Sports']",,['Personal Avatar'],2008-07-28 00:00:00,"['Wii', 'Nintendo DS', 'PlayStation 2']","['Sports', 'Action']",8.4,great,Everyone,
47,Mercury Meltdown,['Ignition Banbury'],"['Ingram Entertainment', 'Ignition Entertainment']",['Mercury'],"['Memory Card', '16:9', '480p', 'Downloadable Content', 'Multi-cartridge Multiplayer', 'Single-Cartridge Downloadable Multiplayer', 'Offline Versus Multiplayer']",2006-08-23 00:00:00,"['Wii', 'PlayStation 2', 'PlayStation Portable', 'iPhone']","['Action', 'Puzzle']",7.5,good,,
48,10Six,['SegaSoft'],['SegaSoft'],,"['Number Of Players', 'Online']",1998-02-06 00:00:00,"['PC', 'Dreamcast']","['Strategy', 'Action']",6.2,okay,Everyone,['Animated Violence']
49,Star Wars: The Force Unleashed [DS],"['LucasArts', 'n-Space']",['LucasArts'],['Star Wars'],['Offline Versus Multiplayer'],2008-09-16 00:00:00,['Nintendo DS'],['Action'],,,Teen,['Fantasy Violence']
50,CSI: Crime Scene Investigation,"['Ubisoft', 'Radical Entertainment', '369 Interactive']","['Ubisoft', 'Ingram Entertainment', 'Aspyr']",['CSI'],"['Number Of Players', 'Memory Card']",2003-03-25 00:00:00,"['Xbox', 'Macintosh', 'PC']",['Adventure'],5.8,mediocre,Mature,"['Violence', 'Blood', 'Blood and Gore']"
51,Call to Power II,['Activision'],['Activision'],,"['Number Of Players', 'Online', 'Memory Card']",2000-10-20 00:00:00,['PC'],['Strategy'],6.0,okay,Everyone,['Mild Animated Violence']
52,Rugby,['Creative Assembly'],['Electronic Arts'],['Rugby [EA]'],"['DualShock', 'Memory Card', 'Vibration', 'Number Of Players']",2001-07-17 00:00:00,['PlayStation 2'],['Sports'],7.3,good,Everyone,['Suitable for Persons Ages Six and Older']
53,Conquest: Frontier Wars,['Warthog Texas'],['Ubisoft'],,"['Online', 'Number Of Players', 'Memory Card']",2001-07-13 00:00:00,['PC'],"['Strategy', 'Sampler']",8.8,great,Teen,"['Mild Animated Violence', 'Mild Language', 'Mild Realistic Violence']"
54,Silent Storm,['Nival Interactive'],"['Aspyr', 'Encore']",,"['Online', 'Number Of Players', 'Memory Card', 'EAX', 'Dolby Digital 5.1']",2004-01-25 00:00:00,['PC'],"['Compilation', 'Action', 'RPG']",8.1,great,Mature,"['Blood', 'Violence']"
55,Back to the Future: The Game -- Episode 3: Citizen Brown,['Telltale Games'],['Telltale Games'],['Back to the Future'],['Number Of Players'],2011-02-15 00:00:00,"['Macintosh', 'PlayStation 3', 'PC']","['Adventure', 'Episodic']",7.5,good,Teen,"['Drug and Alcohol Reference', 'Mild Language', 'Sexual Themes']"
56,Terminator Salvation [iPhone],['Gameloft'],['Gameloft'],['Terminator'],,2009-05-01 00:00:00,['iPhone'],['Action'],7.0,good,,
57,Crash Bandicoot,['Naughty Dog Software'],"['Sony Computer Entertainment', 'Fillpoint']",['Crash Bandicoot'],"['Number Of Players', 'Memory Card', 'Memory Blocks']",1996-09-03 00:00:00,"['PlayStation 3', 'PlayStation Portable', 'PlayStation', 'Android']",['Platformer'],7.5,good,Everyone,['No Descriptors']
58,Spyro the Dragon: Season of Flame,['Digital Eclipse Software'],['Universal Interactive'],['Spyro the Dragon'],['Number Of Players'],2002-09-24 00:00:00,['Game Boy Advance'],['Action'],8.5,great,Everyone,['Suitable for Persons Ages Six and Older']
59,Project X Zone 2,['Monolith Software (JP)'],['Bandai Namco Games'],,,2015-09-30 00:00:00,['Nintendo 3DS'],"['RPG', 'Strategy']",6.5,okay,Teen,"['Fantasy Violence', 'Language', 'Mild Blood', 'Partial Nudity', 'Suggestive Themes']"
60,Home Run King,['WOW Entertainment'],"['SEGA', 'ACE (2)']",,"['Memory Card', 'Number Of Players', 'Memory Blocks', '480p']",2002-03-19 00:00:00,['GameCube'],['Sports'],6.2,okay,Everyone,['Suitable for Persons Ages Six and Older']
61,Disney Think Fast,['Magenta Software'],['Disney Interactive Studios'],,['Number Of Players'],2008-10-28 00:00:00,"['Wii', 'PlayStation 2']",['Trivia'],5.5,mediocre,Everyone,"['Comic Mischief', 'Mild Cartoon Violence']"
62,Shogun: Total War -- The Mongol Invasion,['Creative Assembly'],['Electronic Arts'],['Total War'],"['Number Of Players', 'Online']",2001-08-08 00:00:00,['PC'],"['Strategy', 'DLC / Expansion']",8.9,great,Teen,"['Violence', 'Blood and Gore']"
63,Into the Breach,['Subset Games'],['Subset Games'],,['Steam Deck Verified'],2018-02-27 00:00:00,"['Stadia', 'Nintendo Switch', 'PC']","['Strategy', 'Roguelike / Rogue-Lite']",9.0,amazing,Everyone 10+,"['Fantasy Violence', 'Animated Blood', 'Language']"
64,Pro Evolution Soccer 2012,['PES Productions '],['Konami'],['PES - Pro Evolution Soccer'],['Online'],2011-09-27 00:00:00,"['PC', 'Wii', 'PlayStation 2', 'PlayStation Portable', 'PlayStation 3', 'Xbox 360']",['Sports'],8.0,great,Everyone,['No Descriptors']
65,Spirit of Speed 1937,['Broadsword Interactive'],"['Acclaim Entertainment', 'Electro Source']",,['Number Of Players'],1999-07-24 00:00:00,"['Dreamcast', 'PC']",['Racing'],2.2,painful,Everyone,
66,Mortal Kombat X,"['High Voltage Software', 'NetherRealm Studios']",['Warner Bros. Games'],['Mortal Kombat'],,2015-04-14 00:00:00,"['PlayStation 4', 'Xbox One', 'PC']",['Fighting'],8.4,great,Mature,"['Blood and Gore', 'Intense Violence', 'Strong Language', 'Includes online features that may expose players to unrated user-generated content']"
67,Duke Nukem: Land of the Babes,"['n-Space', '3D Realms']",['GT Interactive'],['Duke Nukem'],"['Memory Card', 'Vibration', 'DualShock']",2000-11-30 00:00:00,['PlayStation'],['Action'],4.0,bad,Mature,"['Animated Violence', 'Animated Blood and Gore', 'Strong Sexual Content']"
68,Medal of Honor: Above and Beyond,['Respawn Entertainment'],['Oculus Studios'],['Medal of Honor'],['VR'],2020-12-10 00:00:00,['PC'],"['Shooter', 'VR']",6.0,okay,Mature,"['Violence', 'Blood', 'Strong Language', ' Users Interact']"
69,The Sims 2: Pets,"['EA Canada - Team Fusion', 'Full Fat', 'IronMonkey Studios', 'A2M (Artificial Mind and Movement)', 'Maxis', 'EA Redwood Shores Studio']","['Electronic Arts', 'Aspyr', 'EA Mobile']",['The Sims'],['Memory Card'],2006-10-17 00:00:00,"['Wireless', 'Wii', 'PlayStation Portable', 'Nintendo DS', 'Game Boy Advance', 'Macintosh', 'PC', 'GameCube', 'PlayStation 2']","['Simulation', 'DLC / Expansion']",6.5,okay,Everyone,"['Crude Humor', 'Mild Violence', 'Violence', 'Sexual Themes', 'Suggestive Themes']"
70,Sam & Max: The Devil's Playhouse -- Episode 4: Beyond the Alley of the Dolls,['Telltale Games'],['Telltale Games'],['Sam and Max'],['Number Of Players'],2010-07-20 00:00:00,"['Macintosh', 'PC', 'PlayStation 3']","['Adventure', 'Episodic']",8.0,great,,
71,G.Skill RipJaws MX780 Mouse,,['G.Skill'],,,,['PC'],['Hardware'],8.0,great,,
72,Star Wars: Uprising,['Kabam'],['Kabam'],['Star Wars'],,2015-09-09 00:00:00,"['iPhone', 'Android']",['RPG'],5.5,mediocre,,
73,Nitrobike,"['Left Field  Productions, Inc.']",['Ubisoft'],,"['Online', '16:9', '480p', 'Online Versus Multiplayer', 'Offline Versus Multiplayer']",2008-01-15 00:00:00,"['PlayStation 2', 'Wii']","['Racing', 'Action']",6.5,okay,Everyone 10+,"['Mild Suggestive Themes', 'Violence']"
74,Monopoly 64,"[""Mind's Eye Productions""]","['Electro Source', 'Hasbro Interactive']",['Monopoly'],['Number Of Players'],1999-12-18 00:00:00,['Nintendo 64'],['Board Game'],7.4,good,Everyone,
75,Wii Sports Resort,['Nintendo'],['Nintendo'],['Nintendo Sports'],"['Wii Motion Plus', 'Number Of Players', 'Local - VS # of Players']",2009-06-25 00:00:00,['Wii'],['Sports'],8.9,great,Everyone,['Cartoon Violence']
76,Bugs Bunny & Taz: Time Busters,['A2M (Artificial Mind and Movement)'],['Infogrames'],['Looney Tunes'],"['Memory Card', 'Vibration', 'DualShock']",2000-12-20 00:00:00,"['PC', 'PlayStation']","['Action', 'Platformer']",6.8,okay,Early Childhood,"['Comic Mischief', 'Mild Animated Violence']"
77,Death Tank,['Snowblind Studios'],['Microsoft'],,"['Number Of Players', '16:9', '1080i', '480p', '720p', 'Online', 'Online - VS Number Of Players', 'Mic/Headset Voice', 'Online Leaderboards']",2009-02-18 00:00:00,['Xbox 360'],['Action'],5.5,mediocre,Everyone 10+,['Mild Fantasy Violence']
78,Exodus from the Earth,['Parallax Arts Studio'],['1C Entertainment'],,,2007-08-24 00:00:00,['PC'],['Shooter'],6.2,okay,Mature,"['Blood and Gore', 'Strong Language', 'Violence']"
79,Retro City Rampage,['Vblank Entertainment Inc.'],['Vblank Entertainment Inc.'],['Retro City'],,2012-10-09 00:00:00,"['PlayStation 3', 'Wii', 'PlayStation Vita', 'Xbox 360', 'PC']","['Action', 'Adventure']",5.3,mediocre,Teen,"['Crude Humor', 'Sexual Content', 'Violence', 'Blood', 'Use of Alcohol']"
80,Raven Project,['Mindscape'],['Mindscape'],,['Number Of Players'],1996-01-01 00:00:00,['PlayStation'],['Action'],3.0,awful,Everyone,['Mild Animated Violence']
81,Prince of Persia [1989],"['Broderbund', 'Masaya', 'Red Orb']","['Ubisoft', 'Virgin Interactive', 'Broderbund', 'Hudson Soft', 'Time Warner Interactive Entertainment', 'Red Orb', 'Magic Soft']",['Prince of Persia'],['Memory Card'],1989-06-01 00:00:00,"['Wii', 'Nintendo 3DS', 'Game Boy Color', 'Macintosh', 'Sega CD', 'Game Boy', 'NES', 'Super Nintendo Entertainment System', 'Game Gear', 'Genesis', 'PC']","['Action', 'Platformer']",8.0,great,,
82,Dead Head Fred,['Vicious Cycle'],['D3 Publisher'],,"['Number Of Players', 'Memory Card']",2007-08-28 00:00:00,['PlayStation Portable'],['Action'],8.3,great,Mature,"['Blood and Gore', 'Intense Violence', 'Mature Humor', 'Strong Language']"
83,Army Men: Toys in Space,['3DO'],['3DO'],['Army Men'],['Number Of Players'],1999-10-28 00:00:00,['PC'],['Action'],4.8,bad,Everyone,"['Realistic Violence', 'Animated Violence']"
84,Celebrity Sports Showdown,['EA Canada'],['Electronic Arts'],,"['Local - VS # of Players', 'Number Of Players']",2008-10-20 00:00:00,['Wii'],"['Action', 'Sports']",4.0,bad,Everyone,['Mild Cartoon Violence']
85,Space Empires V,"['Strategy First', 'Malfador Machinations']","['Empire Interactive', 'Strategy First']",,['Number Of Players'],2006-10-11 00:00:00,['PC'],['Strategy'],6.6,okay,Everyone,['Mild Fantasy Violence']
86,The Sims 3: Supernatural,['The Sims Studio'],['Electronic Arts'],['The Sims'],['Online'],2012-09-04 00:00:00,"['Macintosh', 'PC']","['Simulation', 'DLC / Expansion']",4.5,bad,Teen,"['Violence', 'Sexual Themes', 'Crude Humor']"
87,Defend Your Castle,['XGen Studios'],['XGen Studios'],,"['480p', '16:9', 'Offline Versus Multiplayer', 'Offline Co-Op Multiplayer']",2008-05-12 00:00:00,"['Nintendo Switch', 'Wii']","['Strategy', 'Action']",7.9,good,,
88,Vanark,"['Asmik Corporation', 'Bit Town']",['Jaleco'],,"['Number Of Players', 'DualShock', 'Vibration', 'Memory Card']",2000-03-30 00:00:00,['PlayStation'],['Action'],8.0,great,Teen,
89,Sonic Rivals,"['Backbone Entertainment', 'SEGA']","['SEGA', 'THQ']",['Sonic the Hedgehog'],"['Memory Card', 'Multi-cartridge Multiplayer', 'Offline Versus Multiplayer']",2006-11-17 00:00:00,['PlayStation Portable'],"['Action', 'Racing']",7.4,good,Everyone,['No Descriptors']
90,Clock Tower,['Human Entertainment'],['ASCII Entertainment'],['Clock Tower'],['Memory Card'],1997-10-01 00:00:00,['PlayStation'],['Adventure'],5.5,mediocre,Mature,"['Animated Violence', 'Animated Blood and Gore']"
91,Minecraft,"['4JStudios', 'Mojang']",['Mojang'],['Minecraft'],"['Number Of Players', 'Dolby Digital', 'Online - Co-Op Number Of Players', 'Online Leaderboards', 'Online', 'Local - Co-Op # of Players', 'Mic/Headset Voice', 'Kinect', 'Microsoft HoloLens', 'Cross-Platform Saves', 'Cross-Platform Play', 'User-Generated Content']",2009-05-17 00:00:00,"['Nintendo Switch', 'Wii U', 'PlayStation Vita', 'Xbox One', 'PlayStation 4', 'PlayStation 3', 'Xbox 360', 'Android', 'iPhone', 'PC']","['Action', 'Survival', 'Crafting', 'Simulation']",9.0,amazing,Everyone 10+,"['Fantasy Violence', ' Users Interact', 'Music Downloads and/or Streams Not Rated by the ESRB']"
92,Ridge Racer V,['Namco'],['Namco'],['Ridge Racer'],"['Memory Card', 'Vibration', 'DualShock', 'Steering Wheel Support']",2000-03-04 00:00:00,"['Arcade', 'PlayStation 2']",['Racing'],8.0,great,,
93,R4: Ridge Racer Type 4,['Namco'],"['Bandai Namco Games', 'Namco']",['Ridge Racer'],"['Memory Card', 'Vibration', 'DualShock', 'Steering Wheel Support', 'Offline Versus Multiplayer']",1999-05-04 00:00:00,"['PlayStation Portable', 'PlayStation 3', 'PlayStation']",['Racing'],9.4,amazing,Everyone,['No Descriptors']
94,Giant Gram 2000: All Japan Pro Wrestling 3,['SEGA'],['SEGA'],,['Number Of Players'],2000-08-10 00:00:00,['Dreamcast'],['Wrestling'],8.7,great,,
95,WWF Smackdown! 2: Know Your Role,"[""Yuke's Media Creations""]",['THQ'],,"['Vibration', 'DualShock', 'Offline Versus Multiplayer']",2000-11-20 00:00:00,['PlayStation'],['Wrestling'],8.9,great,Teen,"['Animated Violence', 'Mature Sexual Themes', 'Mild Language']"
96,Disney Sports Skateboarding,"['Konami OSA (KCEO)', 'Konami']","['Konami', 'ACE (2)']",,"['Memory Card', 'Memory Blocks', 'Number Of Players']",2002-09-09 00:00:00,"['GameCube', 'Game Boy Advance']",['Sports'],3.0,awful,Everyone,['Suitable for Persons Ages Six and Older']
97,NCAA Football,,['Electronic Arts'],['EA Sports College Football'],"['Number Of Players', 'Local - VS # of Players', 'System Link / LAN']",2010-06-24 00:00:00,['iPhone'],['Sports'],5.5,mediocre,,
98,Ace of Spades,['Independent'],['Independent'],,['Online'],2012-12-12 00:00:00,['PC'],['Shooter'],5.9,mediocre,,
