,game,developers,publishers,franchises,features,released_date,platform,genres,score,score_text,esrb,esrb_info
7550,Heroes of the Pacific,['IR Gurus Interactive Ltd.'],"['Ubisoft', 'Ingram Entertainment', 'Codemasters', 'Encore', 'Red Mile Entertainment']",,"['Number Of Players', 'Memory Card', 'Vibration', 'DualShock', 'Online']",2005-09-30 00:00:00,"['PC', 'PlayStation 2', 'Xbox', 'PlayStation Portable']","['Action', 'Flight']",8.1,great,Teen,"['Violence', 'Strong Language']"
7551,Lichdom: Battlemage,['Xaviant'],['Maximum Games'],,,2014-08-26 00:00:00,"['Xbox One', 'PlayStation 4', 'PC']","['Action', 'RPG']",6.5,okay,Mature,"['Blood', 'Strong Language', 'Violence']"
7552,Turbo Prop Racing,"['SCEA', 'SCE Studios Soho']","['Sony Computer Entertainment', 'Electro Source']",,"['Memory Card', 'Memory Blocks', 'Local - VS # of Players', 'DualShock', 'Vibration', 'Number Of Players']",1997-10-01 00:00:00,"['PlayStation 3', 'PlayStation Portable', 'PlayStation']",['Racing'],8.0,great,,
7553,Godzilla: Domination,['WayForward Technologies'],"['Infogrames', 'ACE (2)']",['Godzilla'],['Number Of Players'],2002-11-12 00:00:00,['Game Boy Advance'],"['Action', 'Fighting']",5.5,mediocre,Everyone,"['Realistic Violence', 'Animated Violence']"
7554,Shank 2,['Klei Entertainment '],['Electronic Arts'],['Shank'],"['480p', '16:9', 'Online - Co-Op Number Of Players', '720p', 'Online Leaderboards', 'Online', 'Local - Co-Op # of Players', 'Number Of Players']",2012-02-07 00:00:00,"['PlayStation 3', 'Xbox 360', 'PC']",['Action'],8.5,great,Mature,"['Drug Reference', 'Suggestive Themes', 'Blood and Gore', 'Intense Violence', 'Strong Language']"
7555,Battlesport,['Cyclone Studios'],"['Acclaim Entertainment', '3DO']",,['Offline Versus Multiplayer'],1996-11-01 00:00:00,"['PC', 'Saturn', 'PlayStation']",['Action'],6.0,okay,,['Animated Violence']
7556,BlazBlue: Continuum Shift,['ARC System Works'],"['ARC System Works', 'Aksys Games']",['BlazBlue'],"['Online', 'Online Versus Multiplayer', 'Offline Versus Multiplayer']",2009-12-31 00:00:00,"['Xbox 360', 'PlayStation 3', 'Arcade']",['Fighting'],8.5,great,Teen,"['Blood', 'Partial Nudity', 'Sexual Themes', 'Language', 'Violence']"
7557,Hybrid,['5th Cell'],['Microsoft Game Studios'],,"['Online', 'Number Of Players', 'Online - VS Number Of Players']",2012-08-08 00:00:00,['Xbox 360'],['Shooter'],8.0,great,Teen,['Violence']
7558,Dark Rift,['Kronos Digital Entertainment Inc.'],"['Electro Source', 'Vic Tokai']",,"['Memory Card', 'Number Of Players']",1997-07-10 00:00:00,"['Nintendo 64', 'PC']",['Fighting'],5.4,mediocre,Teen,['Animated Violence']
7559,Golvellius: Valley of Doom,"['D4 Enterprise', 'Compile']","['DotEmu', 'SEGA']",,['Number Of Players'],1988-12-31 00:00:00,['iPhone'],"['Adventure', 'Action']",7.3,good,,
7560,PlanetSide: Core Combat,['Verant Interactive'],['Sony Online Entertainment'],['PlanetSide'],"['Number Of Players', 'Memory Card', 'Online']",2003-10-31 00:00:00,['PC'],"['Shooter', 'DLC / Expansion']",6.5,okay,Teen,['Realistic Violence']
